id,name,preferred_common_name,rank,iconic_taxon_name,ancestor_ids,photo_url
77599,Juniperus grandis,Sierra juniper,species,Plantae,"48460,47126,211194,136329,47375,47374,1150915,47574,701533",https://inaturalist-open-data.s3.amazonaws.com/photos/8748376/medium.jpeg
902756,Boechereae,,tribe,Plantae,"48460,47126,211194,47125,47124,71275,47204,1473853,1473859",https://static.inaturalist.org/photos/18545526/medium.jpeg
75572,Arnica lanceolata,lanceleaf arnica,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,179978,52852",https://static.inaturalist.org/photos/45579886/medium.jpg
62702,Epilobium obcordatum,Rockfringe Willowherb,species,Plantae,"48460,47126,211194,47125,47124,47791,47790,52972",https://inaturalist-open-data.s3.amazonaws.com/photos/4239091/medium.jpg
59029,Verbascum thapsus,great mullein,species,Plantae,"48460,47126,211194,47125,47124,48151,47151,941815,56165",https://static.inaturalist.org/photos/44885369/medium.jpg
225755,Neotamias speciosus,Lodgepole Chipmunk,species,Mammalia,"48460,1,2,355675,40151,848317,848320,848323,43698,129411,45933,339572,1279829,197808",https://inaturalist-open-data.s3.amazonaws.com/photos/68325/medium.jpg
5212,Buteo jamaicensis,Red-tailed Hawk,species,Aves,"48460,1,2,355675,3,71261,5067,1542783,5179",https://inaturalist-open-data.s3.amazonaws.com/photos/101327658/medium.jpg
77230,Gayophytum diffusum,Diffuse Groundsmoke,species,Plantae,"48460,47126,211194,47125,47124,47791,47790,72141",https://inaturalist-open-data.s3.amazonaws.com/photos/142678/medium.jpg
197808,Neotamias,Western Chipmunks,genus,Mammalia,"48460,1,2,355675,40151,848317,848320,848323,43698,129411,45933,339572,1279829",https://inaturalist-open-data.s3.amazonaws.com/photos/293503893/medium.jpg
40151,Mammalia,Mammals,class,Mammalia,"48460,1,2,355675",https://inaturalist-open-data.s3.amazonaws.com/photos/80551250/medium.jpg
75540,Arctostaphylos pringlei,Pringle's manzanita,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,571287,47179",https://inaturalist-open-data.s3.amazonaws.com/photos/12056040/medium.jpeg
75300,Ageratina occidentalis,Western Snakeroot,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,153419,901066,64116,1464930",https://static.inaturalist.org/photos/151293204/medium.jpg
56743,Keckiella breviflora,bush beardtongue,species,Plantae,"48460,47126,211194,47125,47124,48151,50638,840998,56744",https://inaturalist-open-data.s3.amazonaws.com/photos/196455626/medium.jpeg
1409551,Leptopoda,,section,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,632795,635184,53093",https://inaturalist-open-data.s3.amazonaws.com/photos/131390179/medium.jpg
499604,Cortinarius thiersii,,species,Fungi,"48460,47170,47169,492000,50814,1094814,47167,785517,48705,48704,1433686,123890",https://inaturalist-open-data.s3.amazonaws.com/photos/4161859/medium.
497558,Heteroecus dasydactyli,Woolly Gall Wasp,species,Insecta,"48460,1,47120,372739,47158,184884,47201,124417,981280,55593,55594,471867,205775,123508",https://static.inaturalist.org/photos/47833078/medium.jpg
75585,Artemisia arbuscula,low sagebrush,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,373844,900983,52855,1123943",https://inaturalist-open-data.s3.amazonaws.com/photos/21470518/medium.jpg
76189,Ceanothus parvifolius,Littleleaf Ceanothus,species,Plantae,"48460,47126,211194,47125,47124,47132,49041,49674,1191150",https://static.inaturalist.org/photos/82618019/medium.jpg
78864,Ribes nevadense,mountain pink currant,species,Plantae,"48460,47126,211194,47125,47124,71289,47131,47130",https://inaturalist-open-data.s3.amazonaws.com/photos/174784/medium.jpg
1456301,Pinoideae,"pines, spruces, larches, and allies",subfamily,Plantae,"48460,47126,211194,136329,47375,47562",https://inaturalist-open-data.s3.amazonaws.com/photos/8464342/medium.jpg
6930,Anas platyrhynchos,Mallard,species,Aves,"48460,1,2,355675,3,6888,6912,6922",https://inaturalist-open-data.s3.amazonaws.com/photos/95268822/medium.jpg
415343,Rosoideae,"brambles, roses, strawberries, and allies",subfamily,Plantae,"48460,47126,211194,47125,47124,47132,47148",https://inaturalist-open-data.s3.amazonaws.com/photos/128386918/medium.jpeg
56573,Chamaebatia foliolosa,Mountain Misery,species,Plantae,"48460,47126,211194,47125,47124,47132,47148,901675,56567",https://inaturalist-open-data.s3.amazonaws.com/photos/11251/medium.jpg
53051,Epilobium canum,California fuchsia,species,Plantae,"48460,47126,211194,47125,47124,47791,47790,52972",https://inaturalist-open-data.s3.amazonaws.com/photos/25155568/medium.jpg
60881,Lonicera involucrata,twinberry honeysuckle,species,Plantae,"48460,47126,211194,47125,47124,48526,48527,345605,51874,1072552,1072556,1072557",https://inaturalist-open-data.s3.amazonaws.com/photos/52126544/medium.jpeg
29044,Pituophis catenifer,Gopher Snake,species,Reptilia,"48460,1,2,355675,26036,26172,85553,26504,797520,29033",https://inaturalist-open-data.s3.amazonaws.com/photos/389786008/medium.jpeg
78863,Ribes montigenum,mountain gooseberry,species,Plantae,"48460,47126,211194,47125,47124,71289,47131,47130",https://inaturalist-open-data.s3.amazonaws.com/photos/151892403/medium.jpeg
